Country,ISO,Currency,Currency_code,Status,Withdrawl_date,country_type,,
"SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS ""SUCRE""",0,Sucre,XSU,Active,ongoing,0,,
SLOVAKIA,SVK,Euro,EUR,Active,ongoing,Sovereign country,,
SLOVAKIA,SVK,Slovak Koruna,SKK,Historic,2009-01,Sovereign country,,
SLOVENIA,SVN,Euro,EUR,Active,ongoing,Sovereign country,,
SLOVENIA,SVN,Tolar,SIT,Historic,2007-01,Sovereign country,,
SOLOMON ISLANDS,SLB,Solomon Islands Dollar,SBD,Active,ongoing,Sovereign country,,
SOMALIA,SOM,Somali Shilling,SOS,Active,ongoing,Sovereign country,,
SOUTH AFRICA,ZAF,Financial Rand,ZAL,Historic,1995-03,Sovereign country,,
SOUTH AFRICA,ZAF,Rand,ZAR,Active,ongoing,Sovereign country,,
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SGS,No universal currency,,Active,ongoing,0,,
SOUTH SUDAN,SSD,Sudanese Pound,SDG,Historic,2012-09,0,,
SOUTH SUDAN,SSD,South Sudanese Pound,SSP,Active,ongoing,0,,
SOUTHERN RHODESIA ,ZWE,Rhodesian Dollar,RHD,Historic,1978 to 1981,Sovereign country,,
SPAIN,ESP,Spanish Peseta,ESA,Historic,1978 to 1981,Sovereign country,,
SPAIN,ESP,"""A"" Account (convertible Peseta Account)",ESB,Historic,1994-12,Sovereign country,,
SPAIN,ESP,Spanish Peseta,ESP,Historic,2002-03,Sovereign country,,
SPAIN,ESP,Euro,EUR,Active,ongoing,Sovereign country,,
SRI LANKA,LKA,Sri Lanka Rupee,LKR,Active,ongoing,Sovereign country,,
SUDAN,SDN,Sudanese Dinar,SDD,Historic,2007-07,Sovereign country,,
SUDAN,SDN,Sudanese Pound,SDP,Historic,1998-06,Sovereign country,,
SUDAN (THE),SDN,Sudanese Pound,SDG,Active,ongoing,Sovereign country,,
SURINAME,SUR,Surinam Dollar,SRD,Active,ongoing,Sovereign country,,
SURINAME,SUR,Surinam Guilder,SRG,Historic,2003-12,Sovereign country,,
SVALBARD AND JAN MAYEN,SJM,Norwegian Krone,NOK,Active,ongoing,0,,
SWAZILAND,SWZ,Lilangeni,SZL,Historic,2018-08,Sovereign country,,
SWEDEN,SWE,Swedish Krona,SEK,Active,ongoing,Sovereign country,,
SWITZERLAND,CHE,WIR Franc (for electronic),CHC,Historic,2004-11,Sovereign country,,
SWITZERLAND,CHE,WIR Euro,CHE,Active,ongoing,Sovereign country,,
SWITZERLAND,CHE,Swiss Franc,CHF,Active,ongoing,Sovereign country,,
SWITZERLAND,CHE,WIR Franc,CHW,Active,ongoing,Sovereign country,,
SYRIAN ARAB REPUBLIC,SYR,Syrian Pound,SYP,Active,ongoing,Sovereign country,,
TAIWAN (PROVINCE OF CHINA),TWN,New Taiwan Dollar,TWD,Active,ongoing,Sovereign country,,
TAJIKISTAN,TJK,Russian Ruble,RUR,Historic,1995-05,Sovereign country,,
TAJIKISTAN,TJK,Tajik Ruble,TJR,Historic,2001-04,Sovereign country,,
TAJIKISTAN,TJK,Somoni,TJS,Active,ongoing,Sovereign country,,
"TANZANIA, UNITED REPUBLIC OF",TZA,Tanzanian Shilling,TZS,Active,ongoing,Sovereign country,,
THAILAND,THA,Baht,THB,Active,ongoing,Sovereign country,,
TIMOR-LESTE,TLS,Rupiah,IDR,Historic,2002-07,Sovereign country,,
TIMOR-LESTE,TLS,Timor Escudo,TPE,Historic,2002-11,Sovereign country,,
TIMOR-LESTE,TLS,US Dollar,USD,Active,ongoing,Sovereign country,,
TOGO,TGO,CFA Franc BCEAO,XOF,Active,ongoing,Sovereign country,,
TOKELAU,TKL,New Zealand Dollar,NZD,Active,ongoing,0,,
TONGA,TON,Pa’anga,TOP,Active,ongoing,0,,
TRINIDAD AND TOBAGO,TTO,Trinidad and Tobago Dollar,TTD,Active,ongoing,Sovereign country,,
TUNISIA,TUN,Tunisian Dinar,TND,Active,ongoing,Sovereign country,,
TURKEY,TUR,Old Turkish Lira,TRL,Historic,2005-12,Sovereign country,,
TURKEY,TUR,New Turkish Lira,TRY,Historic,2009-01,Sovereign country,,
TÜRK?YE,TUR,Turkish Lira,TRY,Active,ongoing,Sovereign country,,
TURKMENISTAN,TKM,Russian Ruble,RUR,Historic,1993-10,Sovereign country,,
TURKMENISTAN,TKM,Turkmenistan Manat,TMM,Historic,2009-01,Sovereign country,,
TURKMENISTAN,TKM,Turkmenistan New Manat,TMT,Active,ongoing,Sovereign country,,
TURKS AND CAICOS ISLANDS (THE),TCA,US Dollar,USD,Active,ongoing,0,,
TUVALU,TUV,Australian Dollar,AUD,Active,ongoing,0,,
UGANDA,UGA,Uganda Shilling,UGS,Historic,1987-05,Sovereign country,,
UGANDA,UGA,Old Shilling,UGW,Historic,1989 to 1990,Sovereign country,,
UGANDA,UGA,Uganda Shilling,UGX,Active,ongoing,Sovereign country,,
UKRAINE,UKR,Hryvnia,UAH,Active,ongoing,Sovereign country,,
UKRAINE,UKR,Karbovanet,UAK,Historic,1996-09,Sovereign country,,
UNION OF SOVIET SOCIALIST REPUBLICS,SUN,Rouble,SUR,Historic,1990-12,0,,
UNITED ARAB EMIRATES (THE),ARE,UAE Dirham,AED,Active,ongoing,Sovereign country,,
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,Pound Sterling,GBP,Active,ongoing,Country,,
UNITED STATES,USA,US Dollar (Same day),USS,Historic,2014-03,Country,,
UNITED STATES MINOR OUTLYING ISLANDS (THE),UMI,US Dollar,USD,Active,ongoing,0,,
UNITED STATES OF AMERICA (THE),USA,US Dollar,USD,Active,ongoing,Country,,
UNITED STATES OF AMERICA (THE),USA,US Dollar (Next day),USN,Active,ongoing,Country,,
URUGUAY,URY,Uruguay Peso en Unidades Indexadas (UI),UYI,Active,ongoing,Sovereign country,,
URUGUAY,URY,Old Uruguay Peso,UYN,Historic,1989-12,Sovereign country,,
URUGUAY,URY,Uruguayan Peso,UYP,Historic,1993-03,Sovereign country,,
URUGUAY,URY,Peso Uruguayo,UYU,Active,ongoing,Sovereign country,,
URUGUAY,URY,Unidad Previsional,UYW,Active,ongoing,Sovereign country,,
UZBEKISTAN,UZB,Russian Ruble,RUR,Historic,1994-07,Sovereign country,,
UZBEKISTAN,UZB,Uzbekistan Sum,UZS,Active,ongoing,Sovereign country,,
VANUATU,VUT,Vatu,VUV,Active,ongoing,Sovereign country,,
VENEZUELA,VEN,Bolivar,VEB,Historic,2008-01,Sovereign country,,
VENEZUELA,VEN,Bolivar Fuerte,VEF,Historic,2011-12,Sovereign country,,
VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN,Bolívar Soberano,VED,Active,ongoing,Sovereign country,,
VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN,Bolivar,VEF,Historic,2016-02,Sovereign country,,
VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN,Bolívar,VEF,Historic,2018-08,Sovereign country,,
VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN,Bolívar Soberano,VES,Active,ongoing,Sovereign country,,
VIET NAM,VNM,Dong,VND,Active,ongoing,Sovereign country,,
VIETNAM,VNM,Old Dong,VNC,Historic,1989-1990,Sovereign country,,
VIRGIN ISLANDS (BRITISH),VGB,US Dollar,USD,Active,ongoing,0,,
VIRGIN ISLANDS (U.S.),VIR,US Dollar,USD,Active,ongoing,0,,
WALLIS AND FUTUNA,WLF,CFP Franc,XPF,Active,ongoing,0,,
WESTERN SAHARA,ESH,Moroccan Dirham,MAD,Active,ongoing,0,,
YEMEN,YEM,Yemeni Rial,YER,Active,ongoing,Sovereign country,,
"YEMEN, DEMOCRATIC",YEM,Yemeni Dinar,YDD,Historic,1991-09,Sovereign country,,
YUGOSLAVIA,YUG,New Yugoslavian Dinar,YUD,Historic,1990-01,0,,
YUGOSLAVIA,YUG,New Dinar,YUM,Historic,2003-07,0,,
YUGOSLAVIA,YUG,Yugoslavian Dinar,YUN,Historic,1995-11,0,,
ZAIRE,COD,New Zaire,ZRN,Historic,1999-06,Sovereign country,,
ZAIRE,COD,Zaire,ZRZ,Historic,1994-02,Sovereign country,,
ZAMBIA,ZMB,Zambian Kwacha,ZMK,Historic,2012-12,Sovereign country,,
ZAMBIA,ZMB,Zambian Kwacha,ZMW,Active,ongoing,Sovereign country,,
ZIMBABWE,ZWE,Rhodesian Dollar,ZWC,Historic,1989-12,Sovereign country,,
ZIMBABWE,ZWE,Zimbabwe Dollar (old),ZWD,Historic,2006-08,Sovereign country,,
ZIMBABWE,ZWE,Zimbabwe Dollar,ZWD,Historic,2008-08,Sovereign country,,
ZIMBABWE,ZWE,Zimbabwe Dollar,ZWL,Active,ongoing,Sovereign country,,
ZIMBABWE,ZWE,Zimbabwe Dollar (new),ZWN,Historic,2006-09,Sovereign country,,
ZIMBABWE,ZWE,Zimbabwe Dollar,ZWR,Historic,2009-06,Sovereign country,,
