Country,ISO,Currency,Currency_code,Status,Withdrawl_date,country_type,,
CAYMAN ISLANDS (THE),CYM,Cayman Islands Dollar,KYD,Active,ongoing,0,,
CENTRAL AFRICAN REPUBLIC (THE),CAF,CFA Franc BEAC,XAF,Active,ongoing,Sovereign country,,
CHAD,TCD,CFA Franc BEAC,XAF,Active,ongoing,Sovereign country,,
CHILE,CHL,Unidad de Fomento,CLF,Active,ongoing,Sovereign country,,
CHILE,CHL,Chilean Peso,CLP,Active,ongoing,Sovereign country,,
CHINA,CHN,Yuan Renminbi,CNY,Active,ongoing,Country,,
CHRISTMAS ISLAND,CXR,Australian Dollar,AUD,Active,ongoing,0,,
COCOS (KEELING) ISLANDS (THE),CCK,Australian Dollar,AUD,Active,ongoing,0,,
COLOMBIA,COL,Colombian Peso,COP,Active,ongoing,Sovereign country,,
COLOMBIA,COL,Unidad de Valor Real,COU,Active,ongoing,Sovereign country,,
COMOROS (THE),COM,Comorian Franc ,KMF,Active,ongoing,0,,
CONGO (THE DEMOCRATIC REPUBLIC OF THE),COD,Congolese Franc,CDF,Active,ongoing,Sovereign country,,
CONGO (THE),COG,CFA Franc BEAC,XAF,Active,ongoing,Sovereign country,,
COOK ISLANDS (THE),COK,New Zealand Dollar,NZD,Active,ongoing,0,,
COSTA RICA,CRI,Costa Rican Colon,CRC,Active,ongoing,Sovereign country,,
CÔTE D'IVOIRE,CIV,CFA Franc BCEAO,XOF,Active,ongoing,Sovereign country,,
CROATIA,HRV,Euro,EUR,Active,ongoing,Sovereign country,,
CROATIA,HRV,Croatian Dinar,HRD,Historic,1995-01,Sovereign country,,
CROATIA,HRV,Croatian Kuna,HRK,Historic,2015-06,Sovereign country,,
CROATIA,HRV,Kuna,HRK,Historic,2023-01,Sovereign country,,
CUBA,CUB,Peso Convertible,CUC,Active,ongoing,Sovereign country,,
CUBA,CUB,Cuban Peso,CUP,Active,ongoing,Sovereign country,,
CURAÇAO,CUW,Netherlands Antillean Guilder,ANG,Active,ongoing,0,,
CYPRUS,CYP,Cyprus Pound,CYP,Historic,2008-01,Sovereign country,,
CYPRUS,CYP,Euro,EUR,Active,ongoing,Sovereign country,,
CZECHIA,CZE,Czech Koruna,CZK,Active,ongoing,Sovereign country,,
CZECHOSLOVAKIA,CSK,Krona A/53,CSJ,Historic,1989 to 1990,0,,
CZECHOSLOVAKIA,CSK,Koruna,CSK,Historic,1993-03,0,,
DENMARK,DNK,Danish Krone,DKK,Active,ongoing,Country,,
